INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
225601140,03/13/2021,03:50:00,BROOKLYN,90,0,BAR/NIGHT CLUB,false,18-24,M,BLACK HISPANIC,25-44,M,BLACK,"1,001,951","195,081",40.70211956100008,-73.93616159099997,POINT (-73.93616159099997 40.70211956100008)
224817401,02/24/2021,16:40:00,MANHATTAN,25,0,,false,18-24,M,WHITE HISPANIC,<18,M,BLACK,"1,001,065","234,582",40.81054144700005,-73.93925822599994,POINT (-73.93925822599994 40.81054144700005)
225295736,03/07/2021,06:15:00,BROOKLYN,75,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,020,123","187,724",40.68187130500007,-73.87066228999998,POINT (-73.87066228999998 40.68187130500007)
223298156,01/12/2021,01:30:00,MANHATTAN,25,0,,false,,,,18-24,M,BLACK,"1,000,229","230,967",40.80062081900007,-73.942286832,POINT (-73.942286832 40.80062081900007)
223240542,01/18/2021,10:04:00,BROOKLYN,79,0,,false,,,,45-64,M,BLACK,"997,994","188,748",40.68474397000005,-73.95044569599996,POINT (-73.95044569599996 40.68474397000005)
226323781,03/30/2021,23:45:00,QUEENS,100,0,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,"1,036,867","153,432",40.587663570000075,-73.81055977899997,POINT (-73.81055977899997 40.587663570000075)
225438895,03/10/2021,07:30:00,MANHATTAN,28,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,18-24,M,BLACK,"998,054","232,172",40.80393187900006,-73.95014024399995,POINT (-73.95014024399995 40.80393187900006)
224412024,02/15/2021,07:10:00,BRONX,48,0,GAS STATION,false,<18,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,"1,011,588","247,981",40.84729155900004,-73.90118991899999,POINT (-73.90118991899999 40.84729155900004)
225063428,03/02/2021,22:35:00,MANHATTAN,32,0,GROCERY/BODEGA,false,,,,18-24,M,BLACK,"998,593","235,938",40.814267648000055,-73.94818528599995,POINT (-73.94818528599995 40.814267648000055)
223553538,01/26/2021,09:03:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,25-44,F,BLACK,"998,700","228,774",40.794604263000046,-73.94781414999993,POINT (-73.94781414999993 40.794604263000046)
222563766,01/03/2021,21:21:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,"1,005,947","235,372",40.81269913700004,-73.92161973599997,POINT (-73.92161973599997 40.81269913700004)
226323779,03/30/2021,16:20:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,M,BLACK,"1,009,548","187,629",40.68164709200005,-73.90879049699998,POINT (-73.90879049699998 40.68164709200005)
224969508,02/28/2021,23:40:00,MANHATTAN,24,0,GROCERY/BODEGA,false,,,,18-24,M,BLACK,"994,327","230,100",40.79824984200008,-73.96360558899994,POINT (-73.96360558899994 40.79824984200008)
222990833,01/12/2021,22:12:00,BROOKLYN,69,0,,false,18-24,M,BLACK,18-24,M,BLACK,"1,012,580","172,896",40.64119909400005,-73.89792064799997,POINT (-73.89792064799997 40.64119909400005)
222772732,01/07/2021,04:20:00,MANHATTAN,25,0,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"1,002,966","230,790",40.80012963000007,-73.93240154599994,POINT (-73.93240154599994 40.80012963000007)
223819780,02/01/2021,01:15:00,MANHATTAN,14,0,,false,25-44,M,BLACK,25-44,M,BLACK,"987,215","215,403",40.75791569300002,-73.98929901999998,POINT (-73.98929901999998 40.75791569300002)
226230158,03/28/2021,22:00:00,BROOKLYN,60,0,HOSPITAL,false,,,,25-44,M,WHITE,"993,627","152,877",40.586291409000076,-73.96624131199997,POINT (-73.96624131199997 40.586291409000076)
226542635,03/14/2021,23:15:00,BROOKLYN,88,0,,false,,,,25-44,M,BLACK,"991,500","191,861",40.69329614200007,-73.97385729199993,POINT (-73.97385729199993 40.69329614200007)
224747405,02/23/2021,22:21:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD,false,,,,18-24,F,BLACK,"996,789","178,574",40.65682040400003,-73.95480940099996,POINT (-73.95480940099996 40.65682040400003)
224556085,02/18/2021,13:09:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"1,009,910","184,163",40.67213266600004,-73.90749851699996,POINT (-73.90749851699996 40.67213266600004)
224353206,02/14/2021,00:12:00,BRONX,47,0,,false,,,,18-24,M,BLACK,"1,024,922","262,189",40.88623680200004,-73.85290883299997,POINT (-73.85290883299997 40.88623680200004)
224079786,02/07/2021,14:49:00,QUEENS,113,0,,true,,,,25-44,M,BLACK,"1,052,918","192,366",40.69441882500007,-73.75237394999994,POINT (-73.75237394999994 40.69441882500007)
225909567,03/19/2021,00:20:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,"1,014,073","180,759",40.662776404000056,-73.89250619599994,POINT (-73.89250619599994 40.662776404000056)
